item	word	reading-time	indep-surp	brn-surp
0	If	0.0	1.4558699131011963	5.989597976207733
1	you	4651.0	1.4425878524780271	6.063130125403404
2	were	522.0	3.2263100147247314	7.880554236471653
3	to	351.5	0.1023387312889099	9.2985670119524
4	journey	336.5	14.244762420654297	23.49769387766719
5	to	270.0	2.2556285858154297	13.719543557614088
6	the	271.5	0.7556312084197998	14.00033650919795
7	North	316.5	8.03829574584961	21.28300104662776
8	of	297.0	0.6006311774253845	13.197689693421124
9	England,	271.0	6.4941451493650675	19.67935912683606
10	you	282.0	1.842325448989868	2.6415383219718933
11	would	276.5	2.907573699951172	3.5792463198304176
12	come	346.0	4.829328536987305	5.9332180097699165
13	to	318.5	1.0171833038330078	3.139886625111103
14	a	325.0	2.2734155654907227	6.322785221040249
15	valley	272.0	8.758127212524414	12.80749686807394
16	that	271.0	0.2392637282609939	4.15798769146204
17	is	256.0	2.0557820796966557	5.803563144057989
18	surrounded	272.0	9.131220817565918	14.42670264467597
19	by	270.5	0.1807825118303299	5.744802575558424
20	moors	269.0	7.935262680053711	14.413897642865775
21	as	275.0	5.069448471069336	16.651250848546624
22	high	272.0	4.007626533508301	15.589428910985587
23	as	328.0	2.3496265411376958	16.698462733998895
24	mountains.	340.5	8.817515805363655	23.87831632234156
25	It	328.5	2.705602169036865	3.9996747374534607
26	is	320.0	2.015331983566284	2.713246211409569
27	in	360.0	1.30701744556427	4.950932011008263
28	this	316.5	4.4316253662109375	9.491149876266718
29	valley	277.0	8.885957717895508	13.945482227951288
30	where	272.0	0.1009877026081085	7.1537936963140965
31	you	262.0	3.474617958068848	9.330900022760034
32	would	280.0	3.7533366680145264	9.633916037157178
33	find	277.5	4.408115863800049	10.586956398561597
34	the	278.5	1.8889474868774412	9.915744023397565
35	city	285.5	7.138195991516113	15.164992528036237
36	of	264.5	0.2744731605052948	7.837565468624234
37	Bradford,	268.0	17.405637744814157	31.185329195111994
38	where	270.0	2.969502210617065	12.59586681611836
39	once	260.0	4.601077079772949	17.16877836175263
40	a	360.0	2.750408172607422	12.820017235353587
41	thousand	332.0	8.5562162399292	18.625825302675366
42	spinning	300.5	13.999259948730469	24.06886901147664
43	jennies	296.5	8.414609909057617	18.484218971803784
44	that	357.5	0.4301864206790924	10.494640903547406
45	hummed	360.0	8.99264144897461	22.10836246982217
46	and	449.0	0.1297923177480697	10.229751724749804
47	clattered	448.5	8.882712364196777	19.02680165693164
48	spun	364.5	10.44476318359375	18.321101339533925
49	wool	333.0	11.243292808532717	20.30389896221459
50	into	345.0	1.5722742080688477	10.560274036601186
51	money	372.0	8.906013488769531	17.924182303249836
52	for	373.0	2.4982893466949463	12.596151264384387
53	the	335.0	1.5225650072097778	11.667111521586776
54	long-bearded	341.5	7.8537211418151855	17.998267656192183
55	mill	348.5	8.899381637573242	19.04392815195024
56	owners.	352.5	10.35144393146038	21.067265620455146
57	That	375.0	5.787973403930664	13.093219220638275
58	all	408.0	5.763172149658203	13.156568279489877
59	mill	390.0	12.914793014526367	20.30818914435804
60	owners	363.5	6.233637809753418	13.62703393958509
61	were	348.0	2.114515781402588	9.520202124491334
62	generally	357.0	7.758746147155762	19.21708830632269
63	busy	340.5	7.000723361968994	18.459065521135926
64	as	338.0	3.5178956985473637	17.42201646603644
65	beavers	336.0	8.166829109191895	22.258485982194543
66	and	344.0	0.7900325059890747	9.691479647532104
67	quite	326.0	6.982784271240234	18.29756304062903
68	pleased	335.0	8.792435646057129	20.107214415445924
69	with	310.0	0.4790437221527099	12.84818514622748
70	themselves	332.5	5.1321868896484375	17.552526170387864
71	for	313.0	2.9823427200317383	13.69614609517157
72	being	310.0	3.598283052444458	17.555797258391976
73	so	332.0	2.054896593093872	20.38023273088038
74	successful	317.0	4.935657024383545	23.260993162170053
75	and	303.0	1.182382345199585	16.642802635207772
76	well	293.5	6.699100494384766	22.419057497754693
77	off	297.0	6.981387138366699	22.701344141736627
78	was	323.5	2.146200180053711	6.083745807409287
79	known	319.5	5.33198356628418	11.233078092336656
80	to	315.5	5.122062206268311	11.358177542686462
81	the	320.0	0.9145846962928772	8.203676126897335
82	residents	331.0	9.725423812866213	17.01451524347067
83	of	301.5	0.3159383237361908	6.9976401552557945
84	Bradford,	306.5	18.449705123901367	25.715879698283967
85	and	309.0	0.4646265804767608	1.0359017550945282
86	if	309.5	0.9945630431175232	4.729259263724089
87	you	364.0	2.6316113471984863	6.471058443188667
88	were	320.0	2.119694232940674	5.971575576812029
89	to	290.0	0.1045814529061317	8.435940634459257
90	go	272.0	3.3240647315979004	11.68985341116786
91	into	276.5	1.9484596252441408	11.204158287495376
92	the	282.0	0.9361670017242432	10.225115768611431
93	city	293.5	5.625384330749512	14.9143330976367
94	to	282.5	0.4100242257118225	12.78200637921691
95	visit	280.5	4.821321487426758	17.215521525591612
